City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.05,85,3,9.62,NZ,2023-11-13 23:03:57
1,grytviken,-54.2811,-36.5092,2.53,98,100,3.27,GS,2023-11-13 23:04:12
2,talayuela,39.987,-5.6098,14.44,89,63,1.08,ES,2023-11-13 23:04:12
3,klyuchi,52.2667,79.1667,4.01,89,100,4.98,RU,2023-11-13 23:04:13
4,olonkinbyen,70.9221,-8.7187,-2.21,69,95,2.89,SJ,2023-11-13 23:04:13
5,edinburgh of the seven seas,-37.0676,-12.3116,13.62,79,7,11.38,SH,2023-11-13 23:04:10
6,xam nua,20.4197,104.0439,15.06,99,100,0.77,LA,2023-11-13 23:04:13
7,iskateley,67.6803,53.1512,-13.32,97,100,3.58,RU,2023-11-13 23:03:32
8,tyukhtet,56.5389,89.3011,-0.13,98,100,4.47,RU,2023-11-13 23:04:14
9,corozal,9.3151,-75.2928,26.09,93,99,2.95,CO,2023-11-13 23:04:14
10,enewetak,11.3474,162.3373,28.4,80,96,8.33,MH,2023-11-13 23:04:14
11,lompoc,34.6391,-120.4579,23.21,64,0,5.14,US,2023-11-13 23:04:14
12,shimoda,34.6667,138.95,13.87,60,89,1.03,JP,2023-11-13 23:04:15
13,albany,42.6001,-73.9662,3.66,70,100,1.49,US,2023-11-13 23:00:45
14,yellowknife,62.456,-114.3525,-7.71,93,100,1.03,CA,2023-11-13 23:01:17
15,port-aux-francais,-49.35,70.2167,7.13,96,100,17.73,TF,2023-11-13 23:02:37
16,chibougamau,49.9168,-74.3659,-4.21,86,100,5.14,CA,2023-11-13 23:04:15
17,papatowai,-46.5619,169.4708,16.4,47,21,4.04,NZ,2023-11-13 23:02:05
18,la passe,45.5549,-0.8967,17.13,95,100,6.33,FR,2023-11-13 23:04:15
19,island harbour,50.724,-1.2758,13.85,86,63,4.02,GB,2023-11-13 23:04:16
20,vorkuta,67.5,64.0,-17.91,96,95,2.23,RU,2023-11-13 23:04:16
21,mossel bay,-34.1831,22.146,14.96,84,45,8.08,ZA,2023-11-13 23:04:16
22,bredasdorp,-34.5322,20.0403,15.15,82,4,6.68,ZA,2023-11-13 23:04:16
23,ushuaia,-54.8,-68.3,4.79,70,40,14.31,AR,2023-11-13 23:03:06
24,the pas,53.8251,-101.2541,2.01,80,75,3.09,CA,2023-11-13 23:03:10
25,topolobampo,25.6,-109.05,29.95,37,0,6.17,MX,2023-11-13 23:04:17
26,bilibino,68.0546,166.4372,-28.45,100,100,2.08,RU,2023-11-13 23:02:31
27,ribeira brava,32.65,-17.0667,22.06,76,52,0.52,PT,2023-11-13 23:04:17
28,tsiombe,-25.3,45.4833,21.58,80,93,1.58,MG,2023-11-13 23:04:17
29,nuuk,64.1835,-51.7216,-5.07,85,87,6.71,GL,2023-11-13 23:04:17
30,dabat,12.9842,37.765,13.75,71,51,2.02,ET,2023-11-13 23:04:18
31,iqaluit,63.7506,-68.5145,-19.06,70,20,3.09,CA,2023-11-13 23:00:33
32,pauini,-7.7136,-66.9764,28.88,64,83,1.59,BR,2023-11-13 23:04:18
33,kone,-21.0595,164.8658,26.86,41,24,2.46,NC,2023-11-13 23:04:18
34,alofi,-19.0595,-169.9187,25.94,89,100,6.69,NU,2023-11-13 23:04:18
35,rio grande,-32.035,-52.0986,20.06,95,100,5.94,BR,2023-11-13 23:04:07
36,ust-nera,64.5667,143.2,-31.39,98,65,2.25,RU,2023-11-13 23:04:18
37,bethel,41.3712,-73.414,6.42,69,94,1.87,US,2023-11-13 23:01:57
38,wailua homesteads,22.0669,-159.378,29.24,75,75,8.23,US,2023-11-13 23:04:19
39,vorgashor,67.5833,63.95,-16.88,93,96,2.99,RU,2023-11-13 23:04:19
40,lamar,33.6668,-95.5836,18.99,41,0,2.57,US,2023-11-13 23:04:19
41,mukalla,14.5425,49.1242,25.5,78,78,2.01,YE,2023-11-13 23:04:19
42,hawaiian paradise park,19.5933,-154.9731,27.73,74,40,4.63,US,2023-11-13 23:04:19
43,sosnovo-ozerskoye,52.5249,111.5418,-16.62,99,89,1.52,RU,2023-11-13 23:04:20
44,adamstown,-25.066,-130.1015,22.86,86,95,8.17,PN,2023-11-13 23:02:00
45,fada,9.5667,8.3,21.93,53,76,1.66,NG,2023-11-13 23:04:20
46,kijang,35.2442,129.2139,1.85,55,1,1.52,KR,2023-11-13 23:00:45
47,quiberon,47.4841,-3.1196,15.04,88,96,6.26,FR,2023-11-13 23:04:21
48,kodiak,57.79,-152.4072,6.73,45,20,8.23,US,2023-11-13 23:04:21
49,puerto natales,-51.7236,-72.4875,3.51,71,53,5.21,CL,2023-11-13 23:04:21
50,margaret river,-33.95,115.0667,15.5,86,99,5.3,AU,2023-11-13 23:04:23
51,manda,-10.4667,34.5833,25.66,72,69,3.15,TZ,2023-11-13 23:04:23
52,happy valley-goose bay,53.3168,-60.3315,-1.83,69,75,4.63,CA,2023-11-13 23:03:10
53,aasiaat,68.7098,-52.8699,-10.29,85,100,2.43,GL,2023-11-13 23:04:23
54,sao gabriel da cachoeira,-0.1303,-67.0892,26.27,83,90,1.29,BR,2023-11-13 23:04:23
55,port lincoln,-34.7333,135.8667,15.35,77,100,5.03,AU,2023-11-13 23:04:24
56,hadibu,12.65,54.0333,26.21,87,98,4.24,YE,2023-11-13 23:04:24
57,kruisfontein,-34.0033,24.7314,13.28,82,81,4.14,ZA,2023-11-13 23:04:24
58,kalmunai,7.4167,81.8167,25.09,89,100,1.81,LK,2023-11-13 23:04:24
59,namtsy,62.7161,129.6658,-27.98,100,90,0.75,RU,2023-11-13 23:04:25
60,argo,37.6333,22.7333,16.42,74,31,1.08,GR,2023-11-13 23:04:25
61,viedma,-40.8135,-62.9967,21.13,18,3,6.42,AR,2023-11-13 23:04:25
62,labytnangi,66.6572,66.4183,-20.85,100,88,0.91,RU,2023-11-13 23:04:25
63,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,2023-11-13 23:02:59
64,jilma,35.2731,9.4239,16.51,54,6,1.03,TN,2023-11-13 23:04:25
65,bardai,11.65,7.2333,22.38,22,72,3.12,NG,2023-11-13 23:04:26
66,punta arenas,-53.15,-70.9167,5.06,60,79,10.29,CL,2023-11-13 23:04:26
67,whitehorse,60.7161,-135.0538,-4.99,86,100,8.23,CA,2023-11-13 23:02:03
68,haiku-pauwela,20.9219,-156.3051,29.01,55,20,8.75,US,2023-11-13 23:04:26
69,nyurba,63.2842,118.3319,-11.92,96,100,2.5,RU,2023-11-13 23:04:26
70,villaviciosa,43.4813,-5.4357,18.79,97,96,0.49,ES,2023-11-13 23:03:45
71,palopo,-2.9996,120.1921,25.48,77,84,1.45,ID,2023-11-13 23:04:27
72,la'ie,21.6477,-157.9253,28.98,73,94,3.13,US,2023-11-13 23:03:59
73,tiksi,71.6872,128.8694,-13.64,90,100,3.51,RU,2023-11-13 23:04:27
74,usogorsk,63.4106,48.6872,-0.74,94,100,3.7,RU,2023-11-13 23:04:27
75,aginskoye,51.1,114.53,-11.12,82,16,3.09,RU,2023-11-13 23:04:27
76,bowen,-20.0167,148.2333,25.41,60,14,4.8,AU,2023-11-13 23:04:28
77,amal,59.051,12.7049,0.92,83,95,6.3,SE,2023-11-13 23:04:28
78,saipan,15.1355,145.701,30.39,70,20,8.23,MP,2023-11-13 23:04:28
79,invercargill,-46.4,168.35,18.9,54,38,4.92,NZ,2023-11-13 23:02:41
80,colonia,50.9333,6.95,12.25,75,0,5.66,DE,2023-11-13 23:04:28
81,longyearbyen,78.2186,15.6401,-10.09,73,75,3.09,SJ,2023-11-13 23:03:18
82,cabo san lucas,22.8909,-109.9124,31.45,61,0,3.09,MX,2023-11-13 23:04:28
83,lucapa,-8.4192,20.7447,18.46,96,23,0.29,AO,2023-11-13 23:04:29
84,paracuru,-3.41,-39.0306,27.84,81,13,5.54,BR,2023-11-13 23:04:29
85,dila,6.4167,38.3167,16.01,94,82,1.63,ET,2023-11-13 23:04:29
86,eyl,7.9803,49.8164,27.14,77,97,6.41,SO,2023-11-13 23:04:29
87,luzilandia,-3.4578,-42.3703,25.85,79,86,3.9,BR,2023-11-13 23:04:29
88,puerto madryn,-42.7692,-65.0385,19.77,22,97,8.58,AR,2023-11-13 23:04:30
89,kayangel,8.0823,134.7173,29.12,76,99,7.89,PW,2023-11-13 23:03:36
90,port elizabeth,-33.918,25.5701,17.16,79,75,5.14,ZA,2023-11-13 23:03:43
91,umred,20.85,79.3333,19.16,58,81,2.76,IN,2023-11-13 23:04:30
92,mata-utu,-13.2816,-176.1745,28.87,75,38,3.95,WF,2023-11-13 23:00:29
93,anjiang,27.3194,110.1031,7.45,91,94,0.17,CN,2023-11-13 23:04:30
94,ust'-kulom,61.6864,53.6902,1.59,98,100,4.13,RU,2023-11-13 23:04:30
95,phatthalung,7.5,100.0833,25.25,89,100,1.54,TH,2023-11-13 23:04:31
96,carnarvon,-24.8667,113.6333,20.9,70,54,3.55,AU,2023-11-13 23:04:31
97,buenavista tomatlan,19.2,-102.6,31.33,53,22,1.45,MX,2023-11-13 23:04:31
98,ribeira grande,38.5167,-28.7,15.43,91,100,1.79,PT,2023-11-13 23:04:10
99,talnakh,69.4865,88.3972,-12.66,94,100,6.01,RU,2023-11-13 23:04:31
100,blackmans bay,-43.0167,147.3167,15.29,51,73,1.79,AU,2023-11-13 23:04:32
101,betio village,1.358,172.9211,28.29,78,99,7.01,KI,2023-11-13 23:04:32
102,port mathurin,-19.6833,63.4167,24.96,78,0,1.19,MU,2023-11-13 23:04:32
103,qingyang,37.4958,121.2581,3.51,45,96,2.89,CN,2023-11-13 23:04:32
104,caconda,-13.7333,15.0667,17.84,72,100,1.95,AO,2023-11-13 23:04:32
105,sittwe,20.15,92.9,24.56,86,100,2.61,MM,2023-11-13 23:04:32
106,vilyuchinsk,52.9306,158.4028,-2.26,79,100,3.48,RU,2023-11-13 23:04:30
107,namibe,-15.1961,12.1522,24.11,61,100,1.14,AO,2023-11-13 23:04:33
108,ilulissat,69.2167,-51.1,-3.99,63,75,8.23,GL,2023-11-13 23:04:33
109,portland,45.5234,-122.6762,14.53,74,75,1.79,US,2023-11-13 22:57:41
110,stephenville,32.2207,-98.2023,16.07,52,100,1.54,US,2023-11-13 23:04:33
111,craig,40.5153,-107.5464,14.79,13,34,6.44,US,2023-11-13 23:02:06
112,holualoa,19.6228,-155.9522,28.08,64,40,4.63,US,2023-11-13 23:04:34
113,vanino,49.0869,140.2543,-8.93,67,52,3.66,RU,2023-11-13 23:04:34
114,stanley,54.868,-1.6985,8.77,87,20,10.29,GB,2023-11-13 23:01:49
115,susuman,62.7833,148.1667,-33.46,99,79,0.27,RU,2023-11-13 23:04:34
116,melekeok village,7.4957,134.6367,28.31,89,100,0.0,PW,2023-11-13 23:04:34
117,burutu,5.3509,5.5076,25.79,87,99,1.81,NG,2023-11-13 23:04:34
118,port alfred,-33.5906,26.891,14.54,93,98,5.29,ZA,2023-11-13 23:04:35
119,pyapon,16.2833,95.6833,24.15,91,96,2.56,MM,2023-11-13 23:04:35
120,utrik,11.2278,169.8474,28.16,82,72,8.11,MH,2023-11-13 23:04:35
121,kodinsk,58.6881,99.1844,0.8,98,100,3.84,RU,2023-11-13 23:04:35
122,severodvinsk,64.5635,39.8302,-3.26,94,100,3.81,RU,2023-11-13 23:04:35
123,nova vicosa,-17.8919,-39.3719,25.07,82,35,7.38,BR,2023-11-13 23:01:35
124,kaa-khem,51.6833,94.7333,-10.33,96,100,0.67,RU,2023-11-13 23:04:36
125,moyynkum,44.2914,72.9469,3.15,67,0,6.96,KZ,2023-11-13 23:04:36
126,la puebla del rio,37.2679,-6.0626,19.57,83,72,2.42,ES,2023-11-13 23:04:36
127,jiwani,25.05,61.7417,25.51,44,63,3.66,PK,2023-11-13 23:04:36
128,constantia,44.1833,28.65,2.38,51,0,4.01,RO,2023-11-13 23:02:19
129,hirara,24.8,125.2833,20.15,68,75,7.2,JP,2023-11-13 23:04:37
130,mohr,54.3528,9.7167,9.08,95,87,8.23,DE,2023-11-13 23:04:37
131,al burayqah,30.4062,19.5739,22.76,62,41,6.96,LY,2023-11-13 23:04:38
132,mount gambier,-37.8333,140.7667,12.28,82,100,0.62,AU,2023-11-13 23:04:38
133,djamaa,33.5339,5.9931,16.65,54,0,0.79,DZ,2023-11-13 23:04:38
134,angra dos reis,-23.0067,-44.3181,26.82,75,60,1.8,BR,2023-11-13 23:01:50
135,tutoia,-2.7619,-42.2744,26.58,82,100,5.85,BR,2023-11-13 23:00:53
136,whakatane,-37.9585,176.9854,21.6,56,100,3.69,NZ,2023-11-13 23:04:38
137,sandnessjoen,66.0217,12.6316,-11.71,70,11,4.58,NO,2023-11-13 23:01:16
138,chaiya,9.3862,99.1986,26.21,86,100,2.09,TH,2023-11-13 23:04:39
139,dudinka,69.4058,86.1778,-12.43,86,74,5.2,RU,2023-11-13 23:04:39
140,hami,42.8,93.45,3.11,28,99,5.8,CN,2023-11-13 23:04:39
141,east ballina,-28.8667,153.5833,23.78,67,40,1.54,AU,2023-11-13 23:04:39
142,antsiranana,-12.2787,49.2917,24.44,83,84,3.58,MG,2023-11-13 23:03:35
143,khovd,48.0056,91.6419,-5.32,86,100,0.76,MN,2023-11-13 23:04:39
144,vadso,70.0744,29.7487,-8.91,86,75,7.2,NO,2023-11-13 23:03:18
145,qaqortoq,60.7167,-46.0333,-6.95,95,100,1.33,GL,2023-11-13 23:04:40
146,tazovsky,67.4667,78.7,-18.83,94,7,3.9,RU,2023-11-13 23:04:07
147,vila velha,-20.3297,-40.2925,27.19,82,0,4.63,BR,2023-11-13 23:01:11
148,i-n-salah,27.1935,2.4607,21.42,26,0,5.25,DZ,2023-11-13 23:04:40
149,solwezi,-12.1688,26.3894,17.59,78,81,2.36,ZM,2023-11-13 23:02:21
150,tanaina,61.6269,-149.4281,-1.55,91,100,2.06,US,2023-11-13 23:04:41
151,lospalos,-8.5186,127.0025,26.63,65,8,0.4,TL,2023-11-13 23:02:44
152,hermanus,-34.4187,19.2345,15.8,79,4,8.94,ZA,2023-11-13 23:03:17
153,isafjordur,66.0755,-23.124,1.57,84,82,3.52,IS,2023-11-13 23:04:41
154,taoudenni,22.6783,-3.9836,26.0,17,4,6.34,ML,2023-11-13 23:04:41
155,robertsport,6.7533,-11.3686,27.5,80,100,1.96,LR,2023-11-13 23:04:41
156,smithers,54.7804,-127.1743,1.18,93,40,1.03,CA,2023-11-13 23:00:50
157,coahuayana de hidalgo,18.7,-103.6583,30.36,65,48,2.23,MX,2023-11-13 23:02:34
158,remire-montjoly,4.9167,-52.2667,27.02,83,0,0.51,GF,2023-11-13 23:04:42
159,uturoa,-16.7333,-151.4333,27.05,81,98,5.52,PF,2023-11-13 23:04:42
160,badger,64.8,-147.5333,-2.79,93,100,2.04,US,2023-11-13 23:04:42
161,hobyo,5.3505,48.5268,26.51,84,80,1.8,SO,2023-11-13 23:02:44
162,avarua,-21.2078,-159.775,24.03,64,75,3.6,CK,2023-11-13 23:04:42
163,luau,-10.7073,22.2247,17.81,93,47,1.45,AO,2023-11-13 23:04:42
164,port blair,11.6667,92.75,28.02,78,100,3.09,IN,2023-11-13 23:04:43
165,santa ana,33.7456,-117.8678,27.58,33,75,4.12,US,2023-11-13 22:57:50
166,harper,4.375,-7.7169,25.95,88,2,3.31,LR,2023-11-13 23:02:05
167,brookings,44.3114,-96.7984,14.0,39,0,6.17,US,2023-11-13 23:02:41
168,yarmouth,41.7057,-70.2286,5.03,81,100,0.89,US,2023-11-13 23:04:44
169,hamilton,39.1834,-84.5333,14.35,40,0,3.09,US,2023-11-13 23:03:28
170,lazaro cardenas,17.9583,-102.2,29.35,74,38,3.45,MX,2023-11-13 23:01:45
171,tommot,58.9564,126.2925,-20.08,100,97,0.95,RU,2023-11-13 23:00:26
172,debre tabor,11.85,38.0167,13.21,77,77,0.71,ET,2023-11-13 23:04:44
173,san juan pueblo,15.5833,-87.2333,27.31,97,92,1.1,HN,2023-11-13 23:04:45
174,georgetown,5.4112,100.3354,25.96,92,20,1.03,MY,2023-11-13 23:04:36
175,abadan,30.3392,48.3043,18.97,59,0,0.0,IR,2023-11-13 23:04:45
176,ataq,14.5377,46.8319,20.66,67,60,1.33,YE,2023-11-13 23:04:45
177,udachny,66.4167,112.4,-6.97,92,100,3.97,RU,2023-11-13 23:04:46
178,east london,-33.0153,27.9116,15.96,75,100,3.24,ZA,2023-11-13 23:04:46
179,maralal,1.0968,36.698,15.01,90,58,1.53,KE,2023-11-13 23:04:46
180,puerto aysen,-45.4,-72.7,3.93,96,100,3.13,CL,2023-11-13 23:04:46
181,kolwezi,-10.7148,25.4667,16.35,94,71,1.38,CD,2023-11-13 23:04:47
182,puerto ayora,-0.7393,-90.3518,28.98,93,70,2.24,EC,2023-11-13 23:04:48
183,goynuk,40.4003,30.7883,9.29,91,100,2.72,TR,2023-11-13 23:04:48
184,vernon,50.2581,-119.2691,10.25,43,92,5.36,CA,2023-11-13 23:01:15
185,palikir - national government center,6.9248,158.1611,30.41,70,100,2.06,FM,2023-11-13 23:04:48
186,gaozhou,21.9392,110.8461,14.87,78,45,2.89,CN,2023-11-13 23:04:48
187,papao,-17.75,-149.55,29.82,88,100,5.55,PF,2023-11-13 23:04:48
188,port saint john's,-31.6229,29.5448,16.83,79,100,3.76,ZA,2023-11-13 23:04:38
189,soio,-6.1349,12.3689,25.97,88,34,1.76,AO,2023-11-13 23:02:27
190,buka,40.8108,69.1986,7.82,39,0,1.5,UZ,2023-11-13 23:04:49
191,danville,36.586,-79.395,14.37,57,28,0.45,US,2023-11-13 23:01:32
192,shuangjiang,26.1547,109.7138,5.29,96,91,1.29,CN,2023-11-13 23:04:49
193,sao jose da coroa grande,-8.8978,-35.1478,25.59,84,49,4.05,BR,2023-11-13 23:04:49
194,porto novo,6.4965,2.6036,25.9,86,2,2.45,BJ,2023-11-13 23:04:50
195,afaahiti,-17.75,-149.2833,28.93,84,100,4.57,PF,2023-11-13 23:04:50
196,molochnoye,59.2917,39.6787,2.96,88,100,0.89,RU,2023-11-13 23:04:50
197,bangar,16.8936,120.4243,26.06,75,99,1.34,PH,2023-11-13 23:04:50
198,padang,-0.9492,100.3543,25.03,92,96,1.9,ID,2023-11-13 23:04:50
199,trelissac,45.1977,0.7862,17.07,94,100,3.33,FR,2023-11-13 23:04:50
200,tura,25.5198,90.2201,18.1,83,5,1.42,IN,2023-11-13 23:02:07
